pt_ms,pt_tf,ms_tf
0.0014994709,0.00018924211,0.001688712
0.00011459613,2.8905724e-05,0.000113553615
0.00017812733,3.759749e-06,0.00017982868
3.0161125e-05,5.0427707e-06,2.9507954e-05
2.6550568e-05,3.6228805e-06,2.7349226e-05
1.83613e-05,2.760963e-06,1.7096645e-05
2.561609e-05,1.2420317e-06,2.5995536e-05
1.7737191e-05,1.0247996e-06,1.7702489e-05
1.5572989e-05,8.7551916e-07,1.5434083e-05
1.4473405e-05,6.2975965e-07,1.4396126e-05
1.5168585e-05,5.25148e-07,1.5069183e-05
1.5613085e-05,3.790708e-07,1.5639285e-05
1.5624999e-05,3.2490777e-07,1.5617881e-05
1.5375655e-05,3.5697988e-07,1.5362073e-05
1.5666084e-05,3.272238e-07,1.5665171e-05
1.495755e-05,2.615478e-07,1.4940233e-05
1.0044962e-05,3.2055883e-07,9.995448e-06
1.26356035e-05,2.6627924e-07,1.2647116e-05
1.2578345e-05,2.1006531e-07,1.2602193e-05
8.417864e-06,1.4984124e-07,8.412888e-06
