pt_ms,pt_tf,ms_tf
8.472625e-06,2.0661664e-06,1.0034959e-05
1.5959886e-05,4.533028e-06,1.9858515e-05
1.024338e-05,4.9656855e-06,7.4661375e-06
1.2000733e-05,4.563061e-06,1.5444342e-05
3.1737434e-06,2.7419196e-06,4.269042e-06
3.848449e-06,4.1071803e-06,5.8300107e-06
7.0592537e-06,3.6574968e-06,7.883406e-06
6.962998e-06,3.5138137e-06,7.690328e-06
1.0386967e-05,5.454282e-06,8.543311e-06
1.0415154e-05,5.571546e-06,8.479137e-06
7.821419e-06,4.853261e-06,6.0876287e-06
1.1667859e-05,8.038958e-06,7.63127e-06
6.708981e-06,5.413616e-06,6.9396797e-06
4.4181415e-06,2.7120345e-06,4.1910753e-06
4.1772505e-06,2.9150176e-06,4.6033038e-06
4.1067906e-06,2.997042e-06,4.709525e-06
4.5074958e-06,4.234806e-06,5.1789875e-06
4.845574e-06,4.3275295e-06,5.1422467e-06
4.8734473e-06,3.879237e-06,5.842606e-06
3.8362004e-06,2.2160336e-06,3.734212e-06
