layer_name,0,1,2,3,4,5,6,7,8,9
resnet,0.0027880548,0.0035753185,0.0040589413,0.0048742215,0.0096415905,0.19523787,0.14804398,0.34148285,0.040021017,0.05344266
resnet.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.maxpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1,0.0,0.00017066076,0.00017066076,0.00017282169,0.00037626317,0.00037626317,0.00037626317,0.00041537496,0.00041537496,0.00041537496
resnet.layer1.0,0.0,0.0,0.0,0.0,0.00026014604,0.00026014604,0.00026014604,0.00026014604,0.00026014604,0.00026014604
resnet.layer1.0.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1.0.bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1.0.conv2,0.0,0.0,0.0,0.0,0.00039081482,0.00039081482,0.00039081482,0.00039081482,0.00039081482,0.00039081482
resnet.layer1.0.bn2,0.0,0.0,0.0,0.0,0.00087498606,0.00087498606,0.00087498606,0.00087498606,0.00087498606,0.00087498606
resnet.layer1.0.conv3,0.0,0.0,0.0,0.0,0.00010910921,0.00010910921,0.00010910921,0.00010910921,0.00010910921,0.00010910921
resnet.layer1.0.bn3,0.0,0.0,0.0,0.0,0.0006216833,0.0006216833,0.0006216833,0.0006216833,0.0006216833,0.0006216833
resnet.layer1.0.relu,0.0,0.0,0.0,0.0,0.00026014604,0.00026014604,0.00026014604,0.00026014604,0.00026014604,0.00026014604
resnet.layer1.0.downsample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1.0.downsample.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1.0.downsample.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet.layer1.1,0.0,1.3682467e-05,1.3682467e-05,1.3734971e-05,0.00028636522,0.00028636522,0.00028636522,0.00031312823,0.00031312823,0.00031312823
resnet.layer1.1.conv1,0.0,0.0,0.0,0.0,0.00017983603,0.00017983603,0.00017983603,0.00017983603,0.00017983603,0.00017983603
resnet.layer1.1.bn1,0.0,0.0,0.0,0.0,0.0010164562,0.0010164562,0.0010164562,0.0010164562,0.0010164562,0.0010164562
resnet.layer1.1.conv2,0.0,0.0,0.0,0.0,0.00039435393,0.00039435393,0.00039435393,0.0009999922,0.0009999922,0.0009999922
resnet.layer1.1.bn2,0.0,0.0,0.0,0.0,0.0016108986,0.0016108986,0.0016108986,0.0045063603,0.0045063603,0.0045063603
resnet.layer1.1.conv3,0.0,0.0,0.0,0.0,0.00010359687,0.00010359687,0.00010359687,0.0004938974,0.0004938974,0.0004938974
resnet.layer1.1.bn3,0.0,1.0186341e-09,1.0186341e-09,5.7392754e-08,0.0006648607,0.0006648607,0.0006648607,0.0035382104,0.0035382104,0.0035382104
resnet.layer1.1.relu,0.0,1.3682467e-05,1.3682467e-05,1.3734971e-05,0.00028636522,0.00028636522,0.00028636522,0.00031312823,0.00031312823,0.00031312823
resnet.layer1.2,0.0,0.00017066076,0.00017066076,0.00017282169,0.00037626317,0.00037626317,0.00037626317,0.00041537496,0.00041537496,0.00041537496
resnet.layer1.2.conv1,0.0,3.9897284e-05,3.9897284e-05,4.0770123e-05,9.3398005e-05,9.3398005e-05,9.3398005e-05,8.7112916e-05,8.7112916e-05,8.7112916e-05
resnet.layer1.2.bn1,0.0,0.00021691545,0.00021691545,0.0002221461,0.00048557075,0.00048557075,0.00048557075,0.00044730722,0.00044730722,0.00044730722
resnet.layer1.2.conv2,0.0,6.255888e-05,6.255888e-05,7.342838e-05,0.000105862695,0.000105862695,0.000105862695,0.000108844695,0.000108844695,0.000108844695
resnet.layer1.2.bn2,0.0,0.000287842,0.000287842,0.00035229966,0.0005343433,0.0005343433,0.0005343433,0.0005596541,0.0005596541,0.0005596541
resnet.layer1.2.conv3,0.0,2.7291218e-05,2.7291218e-05,2.8148072e-05,2.626283e-05,2.626283e-05,2.626283e-05,2.9466362e-05,2.9466362e-05,2.9466362e-05
resnet.layer1.2.bn3,0.0,0.00019393532,0.00019393532,0.0001982351,0.0001834576,0.0001834576,0.0001834576,0.00020559308,0.00020559308,0.00020559308
resnet.layer1.2.relu,0.0,0.00017066076,0.00017066076,0.00017282169,0.00037626317,0.00037626317,0.00037626317,0.00041537496,0.00041537496,0.00041537496
resnet.layer2,0.00088004814,0.00031832693,0.00022083556,0.00052416394,0.00044954685,0.00060626713,0.00060626713,0.00013564591,0.00013564591,0.00013564591
resnet.layer2.0,0.00071580266,0.00021705448,0.00021705448,0.00021786688,0.00014118096,0.00069666735,0.00069666735,0.00035779856,0.00035779856,0.00035779856
resnet.layer2.0.conv1,0.0,4.9582355e-05,4.9582355e-05,5.1679053e-05,9.872537e-05,9.872537e-05,9.872537e-05,0.00010898716,0.00010898716,0.00010898716
resnet.layer2.0.bn1,0.0,0.0002738546,0.0002738546,0.00028527802,0.000496602,0.000496602,0.000496602,0.0005529012,0.0005529012,0.0005529012
resnet.layer2.0.conv2,0.0,7.2042094e-05,7.2042094e-05,0.00012205814,0.00016723596,0.00016723596,0.00016723596,0.00016009153,0.00016009153,0.00016009153
resnet.layer2.0.bn2,0.0033828502,0.0019818377,0.0019818377,0.0011042517,0.00028744218,0.00028744218,0.00028744218,0.00025808817,0.00025808817,0.00025808817
resnet.layer2.0.conv3,0.00022985994,0.00014249653,0.00014249653,0.000107653206,8.5429434e-05,8.5429434e-05,8.5429434e-05,4.1383522e-05,4.1383522e-05,4.1383522e-05
resnet.layer2.0.bn3,0.0017111282,0.0010543535,0.0010543535,0.00079842575,0.000633592,0.000633592,0.000633592,0.00028637686,0.00028637686,0.00028637686
resnet.layer2.0.relu,0.00071580266,0.00021705448,0.00021705448,0.00021786688,0.00014118096,0.00069666735,0.00069666735,0.00035779856,0.00035779856,0.00035779856
