layer_name,0,1,2,3,4,5,6,7,8,9
embedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer1,0.0,3.7880545e-07,3.7880545e-07,0.00035991555,0.00035991555,0.00035991555,0.00035991555,0.0003599156,0.0003599156,0.00037176008
layer1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer1.2,0.0,3.7880545e-07,3.7880545e-07,0.00035991555,0.00035991555,0.00035991555,0.00035991555,0.0003599156,0.0003599156,0.00037176008
layer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005142928,0.005142928,0.0051262327
layer2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005142928,0.005142928,0.0051262327
layer3,0.0,2.2602143e-07,0.000121158584,0.000121158584,6.632389e-05,6.632389e-05,6.632389e-05,3.0205128e-05,0.0017872076,0.00080996467
layer3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer3.2,0.0,2.2602143e-07,0.000121158584,0.000121158584,6.632389e-05,6.632389e-05,6.632389e-05,3.0205128e-05,0.0017872076,0.00080996467
fc,0.0,0.00023031235,0.0010467768,0.0025610328,0.0023294091,0.0023294091,0.0023294091,0.022986412,0.022559226,0.020554781
drop,0.0,1.2030447e-05,2.5471618e-05,0.00016997055,0.00016407846,0.00016407846,0.00016407846,0.0009123945,0.0011863058,0.0010476073
