,layer_name,0,1,2,3,4,5,6,7,8,9
0,conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,maxpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,layer1.0.conv1,0.0,0.0,5.729813e-06,5.729813e-06,5.729813e-06,5.729813e-06,5.729813e-06,5.729813e-06,5.729813e-06,5.729813e-06
5,layer1.0.bn1,0.0,0.0,,,,,,,,
6,layer1.0.conv2,0.0,0.0,,,,,,,,
7,layer1.0.bn2,7.752846e-06,7.752846e-06,,,,,,,,
8,layer1.0.conv3,1.0441554e-05,1.0441554e-05,,,,,,,,
9,layer1.0.bn3,1.3918187e-05,1.3918187e-05,,,,,,,,
10,layer1.0.relu,1.5077574e-05,1.5077574e-05,,,,,,,,
11,layer1.0.downsample.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,layer1.0.downsample.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,layer1.1.conv1,6.81058e-06,6.81058e-06,,,,,,,,
14,layer1.1.bn1,1.2639866e-05,1.2639866e-05,,,,,,,,
15,layer1.1.conv2,1.8092651e-06,1.8092651e-06,,,,,,,,
16,layer1.1.bn2,2.7301721e-06,2.7301721e-06,,,,,,,,
17,layer1.1.conv3,1.7001221e-06,1.7001221e-06,,,,,,,,
18,layer1.1.bn3,9.0901085e-06,9.0901085e-06,,,,,,,,
19,layer1.1.relu,2.3560373e-05,2.3560373e-05,,,,,,,,
20,layer1.2.conv1,1.4616802e-05,1.4616802e-05,,,,,,,,
21,layer1.2.bn1,1.7029888e-05,1.7029888e-05,,,,,,,,
22,layer1.2.conv2,1.1639495e-05,1.1639495e-05,,,,,,,,
23,layer1.2.bn2,1.6870494e-05,1.6870494e-05,,,,,,,,
24,layer1.2.conv3,2.0002317e-06,2.0002317e-06,,,,,,,,
