layer_name,0,1,2,3,4,5,6,7,8,9
conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bn1,0.0,0.0,0.0,7.591676e-05,7.5342134e-05,7.57128e-05,7.560756e-05,7.484201e-05,7.515401e-05,7.509254e-05
relu,0.0,0.0,0.0,0.00014270237,0.00014374452,0.00014259946,0.003636517,0.0036675925,0.0036125823,0.003672443
maxpool,0.0,0.0,0.0,0.00012772717,0.00012868037,0.00012753299,0.0037452613,0.0037767922,0.0037200756,0.0037812605
layer1,0.0047731847,0.0076034293,0.013716549,0.012492999,0.039587006,0.044062756,0.04320104,0.04938445,0.049259476,0.05106438
layer1.0,0.008851342,0.008860476,0.0088275075,0.008397169,0.008480586,0.007886358,0.0053614527,0.030546032,0.030415937,0.030370362
layer1.0.conv1,0.0,0.0,0.0,0.00016251812,0.00015700608,0.0001528631,0.0036934405,0.0037191217,0.003675457,0.0037211683
layer1.0.bn1,0.0,0.0,0.0,0.001806289,0.0017548129,0.001782462,0.0028227493,0.0029030219,0.0028276667,0.094345465
layer1.0.conv2,0.053991728,0.05376639,0.053732656,0.0516055,0.051910397,0.05146196,0.05312382,0.009922229,0.009994894,0.10690481
layer1.0.bn2,0.06255174,0.06230115,0.062004134,0.059289277,0.059728168,0.059260473,0.06204568,0.035864763,0.0356372,0.13285677
layer1.0.conv3,0.022295829,0.022338066,0.022254212,0.020965658,0.021186404,0.021104533,0.02226659,0.0190816,0.019019224,0.05106005
layer1.0.bn3,0.012308487,0.012300241,0.012238701,0.011407618,0.011579203,0.011508141,0.012702575,0.012283701,0.012242026,0.02491625
layer1.0.relu,0.008851342,0.008860476,0.0088275075,0.008397169,0.008480586,0.007886358,0.0053614527,0.030546032,0.030415937,0.030370362
layer1.0.down_sample_layer,0.0,0.0,0.0,0.00029502064,0.00029914826,0.00032117218,0.0035078153,0.0034802184,0.0034183413,0.003506869
layer1.0.down_sample_layer.0,0.0,0.0,0.0,7.190369e-05,8.255616e-05,0.000101278536,0.005767375,0.0057927435,0.005716077,0.00578933
layer1.0.down_sample_layer.1,0.0,0.0,0.0,0.00029502064,0.00029914826,0.00032117218,0.0035078153,0.0034802184,0.0034183413,0.003506869
layer1.1,0.011153281,0.01117833,0.012847796,0.012567684,0.029160202,0.034025356,0.028572619,0.014898993,0.014881209,0.01677619
layer1.1.conv1,0.021333471,0.02132833,0.087372534,0.08707786,0.12731881,0.1544522,0.15431143,0.16850278,0.16789302,0.18983772
layer1.1.bn1,0.023299947,0.023174837,0.09507196,0.09419285,0.13990512,0.16721006,0.16688092,0.18105866,0.18030718,0.20725076
layer1.1.conv2,0.044473767,0.044497505,0.035608754,0.03711945,0.08067964,0.11209617,0.1067012,0.15271376,0.15240857,0.1990485
layer1.1.bn2,0.033435866,0.03356506,0.024870962,0.02426365,0.06249842,0.087119296,0.08448568,0.124182686,0.12353921,0.1612505
layer1.1.conv3,0.009684775,0.009699021,0.014559235,0.01540925,0.016748797,0.030562775,0.02783091,0.038749456,0.038665853,0.050755054
layer1.1.bn3,0.0059751756,0.005975228,0.008199193,0.0090423785,0.009142589,0.019064216,0.017305914,0.02547801,0.025383053,0.032947533
layer1.1.relu,0.011153281,0.01117833,0.012847796,0.012567684,0.029160202,0.034025356,0.028572619,0.014898993,0.014881209,0.01677619
layer1.2,0.0047731847,0.0076034293,0.013716549,0.012492999,0.039587006,0.044062756,0.04320104,0.04938445,0.049259476,0.05106438
layer1.2.conv1,0.019685626,0.019772068,0.022307098,0.020480782,0.052103728,0.06071855,0.043297127,0.055643722,0.055471435,0.052170895
layer1.2.bn1,0.022490084,0.05717367,0.059725046,0.0576787,0.08922689,0.09780699,0.08079094,0.09309447,0.09267159,0.089939885
layer1.2.conv2,0.030566797,0.05730886,0.062100716,0.060959496,0.08726781,0.099084355,0.087141596,0.10386449,0.10380745,0.09787751
layer1.2.bn2,0.025329009,0.051351458,0.0558656,0.05479879,0.077118486,0.08805347,0.077798486,0.09502364,0.094777286,0.090337805
layer1.2.conv3,0.005105231,0.004812017,0.01116956,0.011246409,0.022106957,0.028254246,0.025149416,0.030745726,0.030697713,0.030146984
layer1.2.bn3,0.0023072176,0.0027483553,0.0068782605,0.0069324523,0.013768444,0.017382042,0.014715096,0.018853482,0.018732397,0.018990818
