,layer_name,0,1,2,3,4,5,6,7,8,9
0,feature_map.backbone.conv0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966293e-05,0.000121079385,0.00011640042,0.000116586685
1,feature_map.backbone.conv0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00785166,0.007173717,0.0073896646,0.0061611533
2,feature_map.backbone.conv0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0011561438,0.000598304,0.0007436499,0.0007638633
3,feature_map.backbone.conv1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007779896,0.0010401681,0.0014017448,0.0009039715
4,feature_map.backbone.conv1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.001580447,0.0026459098,0.0008713305,0.0035471916
5,feature_map.backbone.conv1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.003826499,0.0041727126,0.002937764,0.003558293
6,feature_map.backbone.layer1.0.conv1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011773854,0.0027011037,0.0006566942,0.0014800578
7,feature_map.backbone.layer1.0.conv1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0051330924,0.008006662,0.005139798,0.007965803
8,feature_map.backbone.layer1.0.conv1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.004273951,0.005355686,0.0043718815,0.0043658614
9,feature_map.backbone.layer1.0.conv2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003352657,0.0044611096,0.0042464286,0.0041187555
10,feature_map.backbone.layer1.0.conv2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0057695806,0.0069149733,0.006325662,0.0050589144
11,feature_map.backbone.layer1.0.conv2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0024429038,0.0027440041,0.0028274134,0.0017580613
12,feature_map.backbone.conv2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030789375,0.0032087564,0.0024899244,0.0028440058
13,feature_map.backbone.conv2.1,0.0,0.0,0.0,0.0,0.2627742,0.27372456,0.2731142,0.27325732,0.26838475,0.26604226
14,feature_map.backbone.conv2.2,0.0,0.0,0.0,0.0,0.11981476,0.12474425,0.12444653,0.12606831,0.12300833,0.11978011
15,feature_map.backbone.layer2.0.conv1.0,0.0,0.0,0.0,0.0,0.095806,0.07948294,0.089130014,0.08597963,0.102940165,0.08778012
16,feature_map.backbone.layer2.0.conv1.1,0.0,0.0,0.0,0.0,0.07714307,0.06965482,0.0754773,0.083512664,0.07618797,0.077145845
17,feature_map.backbone.layer2.0.conv1.2,0.0,0.0,0.0,0.0,0.016313449,0.01379858,0.016947746,0.022487387,0.015756369,0.017864153
18,feature_map.backbone.layer2.0.conv2.0,0.0,0.0,0.0,0.0,0.02137135,0.017340094,0.02362746,0.025474086,0.02277568,0.02102904
19,feature_map.backbone.layer2.0.conv2.1,0.18280594,0.17280369,0.17278044,0.17473948,0.19840978,0.19324246,0.19945587,0.19877194,0.20350723,0.19998078
20,feature_map.backbone.layer2.0.conv2.2,0.09125433,0.08674725,0.08479522,0.0859701,0.09922932,0.09628561,0.10015461,0.09706299,0.09839496,0.09824586
21,feature_map.backbone.layer2.1.conv1.0,0.024070024,0.026873589,0.019612238,0.02228202,0.07533144,0.10101691,0.08672536,0.087907776,0.083554074,0.1101899
22,feature_map.backbone.layer2.1.conv1.1,0.01156193,0.013766587,0.010632694,0.014361918,0.04968074,0.04380101,0.053873956,0.05298412,0.05053678,0.052735955
23,feature_map.backbone.layer2.1.conv1.2,0.007501483,0.005618468,0.007602066,0.0053261966,0.03465511,0.03592205,0.039262712,0.03564334,0.036006033,0.034333885
24,feature_map.backbone.layer2.1.conv2.0,0.0075922012,0.005783424,0.005438626,0.0049790293,0.02241616,0.028079614,0.021571994,0.022617295,0.026014999,0.02453424
25,feature_map.backbone.layer2.1.conv2.1,0.01692012,0.017307073,0.014670372,0.01501435,0.052652508,0.056902915,0.050181,0.050549746,0.14467761,0.14565027
26,feature_map.backbone.layer2.1.conv2.2,0.006576717,0.003225848,0.005599156,0.0049892366,0.0053312927,0.008819908,0.0041897297,0.00530459,0.07399685,0.07468632
27,feature_map.backbone.conv3.0,0.05223015,0.063773036,0.06446692,0.061467797,0.12360275,0.12763606,0.13044651,0.12727438,0.17155091,0.17317113
28,feature_map.backbone.conv3.1,0.043011695,0.042150795,0.043434083,0.0435009,0.09633559,0.09656447,0.09767583,0.09760538,0.1360682,0.13671649
29,feature_map.backbone.conv3.2,0.028618887,0.024949685,0.02576685,0.025703624,0.028521717,0.028585792,0.029006273,0.028924704,0.04628192,0.046714023
30,feature_map.backbone.layer3.0.conv1.0,0.016157433,0.014986098,0.012699604,0.018394902,0.0013878047,0.0047543794,0.00545533,3.5971403e-05,0.023929104,0.019508317
31,feature_map.backbone.layer3.0.conv1.1,0.0031434298,0.016580164,0.013230652,0.020003498,0.0032387078,0.0080726445,0.009123892,0.010621816,0.034794778,0.02971062
32,feature_map.backbone.layer3.0.conv1.2,0.0036591142,0.010969877,0.010173559,0.01344642,0.01588659,0.01399608,0.009897575,0.008138999,0.0012212247,0.0035245717
33,feature_map.backbone.layer3.0.conv2.0,0.009856597,0.0049505234,0.007350832,0.004691988,0.07931967,0.10783902,0.10674838,0.13418427,0.13241056,0.1516613
34,feature_map.backbone.layer3.0.conv2.1,0.01297164,0.20752095,0.20919289,0.20812197,0.28353435,0.3104478,0.30860838,0.33868572,0.3330184,0.35578907
35,feature_map.backbone.layer3.0.conv2.2,0.0069056004,0.09574988,0.0964122,0.094488256,0.13764258,0.15045825,0.14936352,0.15989363,0.15666065,0.16922906
36,feature_map.backbone.layer3.1.conv1.0,0.0031277835,0.05546108,0.050804794,0.056248307,0.07351899,0.07850307,0.07619728,0.08036685,0.070034534,0.07244401
37,feature_map.backbone.layer3.1.conv1.1,0.0022028983,0.009489089,0.010929495,0.0052241087,0.032558173,0.023693055,0.02752152,0.034803987,0.25582147,0.2467922
38,feature_map.backbone.layer3.1.conv1.2,0.0010189265,0.01036568,0.008935779,0.0068357587,0.03318633,0.02977182,0.032876566,0.036346763,0.16377199,0.16807233
39,feature_map.backbone.layer3.1.conv2.0,0.0011046976,0.01165086,0.008961856,0.007129863,0.017336577,0.011914268,0.015467852,0.016549021,0.12204243,0.12741211
40,feature_map.backbone.layer3.1.conv2.1,0.01838532,0.01271683,0.010041475,0.009078503,0.00065535307,0.00790593,0.0050391257,0.00028258562,0.20962358,0.22127247
41,feature_map.backbone.layer3.1.conv2.2,0.013854846,0.01377894,0.012273923,0.012992367,0.01484558,0.007730499,0.012194723,0.013783589,0.14104065,0.14506479
42,feature_map.backbone.layer3.2.conv1.0,0.0029225647,0.03684631,0.031223506,0.034582615,0.05191201,0.059879124,0.0559327,0.0627445,0.016217291,0.009025514
43,feature_map.backbone.layer3.2.conv1.1,0.015525579,0.009161055,0.15253612,0.16064215,0.17382005,0.18192458,0.1816859,0.18084323,0.11326763,0.114013374
44,feature_map.backbone.layer3.2.conv1.2,0.014846742,0.018888861,0.14133845,0.14457957,0.14677885,0.14693967,0.14939864,0.14703792,0.12299754,0.121692225
45,feature_map.backbone.layer3.2.conv2.0,0.016446397,0.022315934,0.092695266,0.09884378,0.09743318,0.10649939,0.10579209,0.09962902,0.09209338,0.09004928
46,feature_map.backbone.layer3.2.conv2.1,0.03763351,0.029980034,0.103553295,0.10151842,0.0982945,0.11076054,0.106027484,0.10238996,0.103198975,0.099813044
47,feature_map.backbone.layer3.2.conv2.2,0.01777932,0.029294044,0.04598108,0.04472612,0.03662142,0.040848926,0.03815572,0.0358475,0.03421831,0.035472974
48,feature_map.backbone.layer3.3.conv1.0,0.04433915,0.030182064,0.017954081,0.012831062,0.032125533,0.046518594,0.039536566,0.039004296,0.040345103,0.041312486
49,feature_map.backbone.layer3.3.conv1.1,0.008678734,0.0034914017,0.008887172,0.011888444,0.01514107,0.029842138,0.03420925,0.02398616,0.0070682764,0.0043509007
50,feature_map.backbone.layer3.3.conv1.2,0.008049786,0.000543803,0.020839095,0.019172773,0.029589072,0.32782748,0.3336596,0.32282203,0.29051515,0.28916097
51,feature_map.backbone.layer3.3.conv2.0,0.012435019,0.004715964,0.0012740642,0.0005157739,0.0073220283,0.1352895,0.1392318,0.13498576,0.13560641,0.1301278
52,feature_map.backbone.layer3.3.conv2.1,0.021767825,0.03212127,0.034453988,0.03591445,0.021235108,0.48949435,0.49086782,0.47537103,0.47585443,0.46114883
53,feature_map.backbone.layer3.3.conv2.2,0.014116272,0.026498899,0.026885957,0.026184246,0.02538921,0.2742771,0.27473754,0.26763374,0.27318656,0.25788507
54,feature_map.backbone.layer3.4.conv1.0,0.013573945,0.019707024,0.057120323,0.049679816,0.0746519,0.08000183,0.080786586,0.07367015,0.13838214,0.12558669
55,feature_map.backbone.layer3.4.conv1.1,0.010147214,0.007731259,0.033378124,0.034674525,0.050863683,0.019432127,0.014458418,0.013060093,0.013743758,0.07630271
56,feature_map.backbone.layer3.4.conv1.2,0.0030431747,0.0066409707,0.000505358,0.0025940537,0.010292321,0.037097454,0.036857337,0.039698422,0.038513243,0.047351122
57,feature_map.backbone.layer3.4.conv2.0,0.00055238605,0.0066388547,0.0034138411,0.0017256588,0.013188869,0.02249664,0.024344265,0.024802849,0.021688074,0.011486679
58,feature_map.backbone.layer3.4.conv2.1,0.00012257695,0.008382767,0.013250619,0.018546969,0.04050836,0.00080373883,0.0064685643,0.0050247908,0.0038980842,0.08525315
59,feature_map.backbone.layer3.4.conv2.2,0.00017674267,0.008051574,0.0082258135,0.011516184,0.02595608,0.00024153292,0.0026752502,0.0025423318,0.010665938,0.010837957
60,feature_map.backbone.layer3.5.conv1.0,0.023717046,0.02919954,0.056925476,0.052606583,0.06250626,0.036509216,0.037880123,0.036803424,0.15598804,0.159827
61,feature_map.backbone.layer3.5.conv1.1,0.022499025,0.019810438,0.050041974,0.046246886,0.06557101,0.059466124,0.0540964,0.05240816,0.005553186,0.008463562
62,feature_map.backbone.layer3.5.conv1.2,0.009205133,0.021139473,0.025924653,0.027622014,0.040002942,0.036718667,0.033308804,0.035178393,0.034508497,0.058594227
63,feature_map.backbone.layer3.5.conv2.0,0.0052316636,0.013443887,0.020635381,0.021649554,0.025335088,0.015947267,0.014596388,0.015674025,0.013994411,0.039654136
64,feature_map.backbone.layer3.5.conv2.1,0.0067207217,0.0398463,0.042125612,0.053521782,0.05526164,0.029194772,0.025130987,0.030889839,0.013316184,0.048505753
65,feature_map.backbone.layer3.5.conv2.2,0.0012523085,0.013399243,0.018576637,0.02435945,0.01607202,0.001812458,0.004291266,0.001522854,0.00033856928,0.02477844
66,feature_map.backbone.layer3.6.conv1.0,0.037248313,0.032487392,0.017701209,0.011013389,0.03687024,0.072083116,0.069536924,0.077108264,0.18330139,0.23153037
67,feature_map.backbone.layer3.6.conv1.1,0.022768319,0.02607894,0.012333393,0.010715783,0.0021306872,0.03934908,0.035473585,0.032836854,0.07571387,0.6277988
68,feature_map.backbone.layer3.6.conv1.2,0.022933334,0.016002476,0.015001237,0.015394479,0.016404688,0.044606626,0.047928035,0.05061525,0.0018920004,0.24258
69,feature_map.backbone.layer3.6.conv2.0,0.018891186,0.007734418,0.005553767,0.0056400895,0.017425075,0.033583075,0.03436777,0.03392431,0.007570058,0.30684218
70,feature_map.backbone.layer3.6.conv2.1,0.03545478,0.0027891994,0.01366508,0.01842463,0.011104703,0.31713212,0.31651658,0.31488347,0.33414543,0.1910722
71,feature_map.backbone.layer3.6.conv2.2,0.022857845,0.015256599,0.008387074,0.010917649,0.0042933524,0.10050149,0.099803686,0.09647356,0.11588813,0.028036803
72,feature_map.backbone.layer3.7.conv1.0,0.020849288,0.027070284,0.000839293,0.019072056,0.008623898,0.1149984,0.114353955,0.10280669,0.15776163,0.22601134
73,feature_map.backbone.layer3.7.conv1.1,0.019421518,0.0054354668,0.037016273,0.033648312,0.04477209,0.05863744,0.06333119,0.069138765,0.029051483,0.04182589
74,feature_map.backbone.layer3.7.conv1.2,0.014788508,0.002207607,0.0568932,0.064890206,0.07522306,0.07693431,0.07662764,0.079898894,0.050446242,0.07278898
75,feature_map.backbone.layer3.7.conv2.0,0.0012736619,0.00016632676,0.028505653,0.03153923,0.024980187,0.025719404,0.022128284,0.027050257,0.011293501,0.0003232062
76,feature_map.backbone.layer3.7.conv2.1,0.012171149,0.01805085,0.05016893,0.0530082,0.03565067,0.046551645,0.041189194,0.0431571,0.02932781,0.0023693442
77,feature_map.backbone.layer3.7.conv2.2,0.008576661,0.011744291,0.015932024,0.019279242,0.0042740107,1.0541149,1.0565212,1.0559018,1.02474,0.96437347
78,feature_map.backbone.conv4.0,0.0129475,0.02730745,0.008468807,0.0034809113,0.01144737,0.18143791,0.17853713,0.17893738,0.18371743,0.28923345
79,feature_map.backbone.conv4.1,0.0061198473,0.0048708916,0.0048428774,0.006273091,0.017157555,0.38660926,0.38614756,0.3924786,0.30692625,0.25718135
80,feature_map.backbone.conv4.2,0.004422009,0.0026231408,0.0067107975,0.008131355,0.018229783,0.2013523,0.20352674,0.20942646,0.17124104,0.15247029
81,feature_map.backbone.layer4.0.conv1.0,0.00012162328,0.0058553517,0.0042040944,0.008095413,0.015702754,0.1377002,0.14062133,0.13889104,0.10760167,0.09760949
82,feature_map.backbone.layer4.0.conv1.1,0.0043907464,0.0067504644,0.009423286,0.0153265,0.032919377,0.2854717,0.2873801,0.06941512,0.10189605,0.11394
83,feature_map.backbone.layer4.0.conv1.2,1.0073185e-05,0.0061115026,0.006808147,0.0070697963,0.0044692755,0.13734591,0.13633412,0.049508974,0.06842193,0.06486161
84,feature_map.backbone.layer4.0.conv2.0,0.003995776,0.000972569,0.0076408386,0.0031380355,0.009237677,0.11153206,0.11161356,0.036802992,0.049154848,0.054663032
85,feature_map.backbone.layer4.0.conv2.1,0.004916936,0.0020151138,0.0026578903,0.0004955232,0.005308926,0.17882141,0.1780459,0.07056239,0.072016805,0.090110004
86,feature_map.backbone.layer4.0.conv2.2,0.0015130192,0.0006521791,0.0027618408,0.0027157366,0.0025215596,0.0865514,0.08647956,0.037909567,0.040277943,0.0464475
87,feature_map.backbone.layer4.1.conv1.0,0.0014508367,0.0006942749,0.005857259,0.00753808,0.023644209,0.19149506,0.19500712,0.14060599,0.11703578,0.089049816
88,feature_map.backbone.layer4.1.conv1.1,0.0068771243,0.030054271,0.005626023,0.003599763,0.025363266,0.21234626,0.21720803,0.16715473,0.14287245,0.08756536
