,layer_name,0,1,2,3,4,5,6,7,8,9
0,conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005913114,0.005849045
2,relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003783347,0.0037522446
3,maxpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003874096,0.0038420996
4,layer1.0.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032312092,0.0032114922
5,layer1.0.bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037110373,0.0036844015
6,layer1.0.conv2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056873817,0.056919854
7,layer1.0.bn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562488,0.065888435
8,layer1.0.conv3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02431283,0.024448121
9,layer1.0.bn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01322311,0.01331867
10,layer1.0.relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043773428,0.0044000596
11,layer1.0.down_sample_layer.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025813235,0.00255947
12,layer1.0.down_sample_layer.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003955886,0.003943287
13,layer1.1.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00731726,0.0073575824
14,layer1.1.bn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040780753,0.0042143613
15,layer1.1.conv2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019439638,0.019454181
16,layer1.1.bn2,0.020651907,0.020437837,0.020675749,0.020554349,0.020807102,0.02053444,0.020451456,0.020657003,0.003934756,0.004175529
17,layer1.1.conv3,0.007300392,0.007294681,0.0073906556,0.007340476,0.0074148923,0.0073285513,0.0073367395,0.007313993,0.009824038,0.009744372
18,layer1.1.bn3,0.005084049,0.005059503,0.005143877,0.00511213,0.0051620156,0.005069677,0.0051067434,0.0050743334,0.007623613,0.007610984
19,layer1.1.relu,0.0052694753,0.0052470714,0.0053057373,0.0052861795,0.0053089857,0.0052580163,0.005270265,0.005225688,0.00663767,0.006580569
20,layer1.2.conv1,0.0030453354,0.0029879063,0.002805367,0.0028863698,0.0028953254,0.0029280335,0.0028070211,0.0030145496,0.009322166,0.009657517
21,layer1.2.bn1,0.0013664961,0.005852729,0.00614959,0.0063120127,0.0060497373,0.0058752596,0.0059951544,0.005998999,0.011000693,0.011631429
22,layer1.2.conv2,0.004092887,0.06879222,0.06883543,0.06890022,0.06935155,0.06869125,0.020322025,0.02043663,0.010749191,0.011148155
23,layer1.2.bn2,0.0072042197,0.05984267,0.059749186,0.060073048,0.060241714,0.059674017,0.018366754,0.018378258,0.008820295,0.009332657
24,layer1.2.conv3,0.0006831661,0.02791885,0.027822256,0.027968379,0.027995743,0.028086863,0.0010886751,0.0011633076,0.0009345412,0.0010202006
25,layer1.2.bn3,0.018087354,0.010506835,0.010506369,0.0106119495,0.010591641,0.01060614,0.018457305,0.018626835,0.01838313,0.018424924
26,layer1.2.relu,0.00086637586,0.01582525,0.015910916,0.015894264,0.01585687,0.015869156,0.009405293,0.009591125,0.011798091,0.011906758
27,layer2.0.conv1,0.006684713,0.009894915,0.009901993,0.009888992,0.009940863,0.009861223,0.0013272986,0.0013095513,0.0011637136,0.0011583716
28,layer2.0.bn1,0.022830114,0.032538697,0.032666385,0.032681867,0.03266968,0.032472715,0.002037838,0.0013735294,0.0024681687,0.0025135726
29,layer2.0.conv2,0.004731491,0.0013339072,0.001392737,0.0013997406,0.0014265627,0.0015038103,0.021554865,0.021833263,0.009242773,0.009650275
30,layer2.0.bn2,0.008988559,0.00421986,0.0042694807,0.0041942,0.004245892,0.0044425875,0.032527804,0.032811612,0.018439174,0.08833483
31,layer2.0.conv3,0.008829273,0.0029943474,0.0029834993,0.003035739,0.002883453,0.0028901473,0.020277534,0.018910423,0.009039845,0.018879257
32,layer2.0.bn3,0.0029278565,0.0002578497,0.00023266114,0.00026535057,0.000193635,0.00020483136,0.006522188,0.006016679,0.002151752,0.005668629
33,layer2.0.relu,0.010553405,0.01383394,0.013936952,0.013844088,0.013909467,0.0140405,0.00964544,0.010009341,0.042401597,0.043331236
34,layer2.0.down_sample_layer.0,0.009554446,0.015861169,0.016019031,0.015848562,0.015950218,0.015998065,0.0020265728,0.0016665012,0.00090911984,0.000991419
35,layer2.0.down_sample_layer.1,0.014070764,0.024053752,0.02434063,0.02411148,0.024249792,0.024361163,0.0043219477,0.0037994385,0.0017433017,0.0018420517
36,layer2.1.conv1,0.009517252,0.017172903,0.017476574,0.017186046,0.017369762,0.017567307,0.02910754,0.029207706,0.036149114,0.037201107
37,layer2.1.bn1,0.014330834,0.02621752,0.02654022,0.026184052,0.026492476,0.026522607,0.042670533,0.04286596,0.051006466,0.0521321
