Title,Body,CreaDate,Tags,State,Reactions,Comments,Link,Keywords,Topic_id,,,,,,
create cudnn handle cudnn status internanl,sure policy master issues md address doc bugs performance issues feature requests issues tag template system information written custom opposed stock example script provided described os platform distribution linux ubuntu manjaro mobile device iphone pixel samsung galaxy happens mobile device installed source binanry tf gpu dec version command dev version bazel version compiling source gcc compiler version compiling source cuda cudnn version cuda cudnn gpu model memory rtx current behavior running cnn model mnist running gpu encountering digging realized memory ram swap ran htop running model free enough fit vram mappings gpu options allow growth gets model work properly setting os environ cuda visible devices also works means facing memory also gpu options allow growth fix trying models official mnist model similar behavior reproduce,2018-12-21T06:29:31Z,"stat:awaiting response, type:bug, stale, comp:gpu, TF 2.0",CLOSED,62,186,https://github.com/tensorflow/tensorflow/issues/24496,"image, cpu, githubusercontent, image_githubusercontent, training, running, thread, distribute, worker, docker",8,模型在硬件设备上执行失败,,,,,Could not create cudnn handle: CUDNN_STATUS_INTERNAL_ERROR
tf keras multi input models work tf data dataset,go overflow help support stackoverflow questions tagged policy must feature request significant problem small docs fixes send pr instead form must filled tensorboard go tensorboard issues policy developers respond issues focus work benefits whole community fixing bugs adding features support helps individuals also notifies thousands people issues filed communicating interesting problem rather redirected overflow system information written custom opposed stock example script provided os platform distribution linux ubuntu macos debian gnu linux stretch installed source binanry binanry version command rc cfd dev also reproduces version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory exact command reproduce collect information environment capture script tree master tools tf env collect sh obtain version import tf tf git version tf version problem tf keras multi input models work together tf data dataset due input broken validation checks problem reproduces tf latest,2018-07-11T13:42:33Z,"stat:awaiting tensorflower, type:bug",CLOSED,67,33,https://github.com/tensorflow/tensorflow/issues/20698,"tensorboard, stackoverflow, question, problem, pip, conversion, support, system_information, issue, go",7,模型在不同模式上执行失败,,,,, tf.data.Dataset执行失败
py causes issues keras model loads,py released version today causes fail master keras saving hdf format py looks version py version pinned pinned master causing,2020-10-30T19:32:36Z,type:bug,CLOSED,53,55,https://github.com/tensorflow/tensorflow/issues/44467,"py, package, module, object, ops, core, import, attribute, ananconda, java",15,模型加载失败,,,,,h5py==3.0.0 causes issues with keras model loads in tensorflow 2.1.0
memory tf model predict model fit keras,system information os platform system version macos kernel version darwin installed binanry pip install version gpu model memory gpu version current behavior running theano backends works upgraded stops working memory usage increasing without finish program expected behavior theano seconds iteration expect behavior better reproduce,2019-10-03T20:09:06Z,"type:bug, comp:keras, TF 2.0",CLOSED,29,92,https://github.com/tensorflow/tensorflow/issues/33030,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型训练推理内存泄漏,,,,,TF 2.0 predict/train接口问题
tf keras cannot weight classes multiple outputs,post mirror keras team keras issues showing handle class weight multiple outputs version minimal source reproduce comment uncomment class weight uncommenting yields,2020-07-16T10:11:48Z,"stat:awaiting tensorflower, type:bug, comp:keras, TF 2.5",OPEN,16,50,https://github.com/tensorflow/tensorflow/issues/41448,"function, kera, variable, weight, eager, input, nanme, optimizer, graph, output",13,模型推理实现问题,,,,,tf.keras在有多个输出时无法对分类加权
runtimebug unanble create nanme already exists model saving modelcheckpoint,system information written custom opposed stock example script provided os platform distribution linux ubuntu arch linux mobile device iphone pixel samsung galaxy happens mobile device installed source binanry tf downloaded repo version command tf gpu preview dev hub version cuda cudnn version cuda version cudnn gpu model memory nvidia rtx ti current behavior downloaded inception model tf hub specifically one tfhub dev tf preview inception feature vector added keras layers dropout layer dense layer training trying model modelcheckpoint keras callback unfortunantely one epoch model saving receive following highlighting runtimebug unanble create nanme already exists expected behavior expecting able modelcheckpoint callback best model alternantively also expecting able model model filepath function reproduce reproduce following tf hub research hub master examples tf retraining ipynb scrollto ccpdfxpsh adding cell modelcheckpoint adding callback fit generator function model info logs found issues online regarding similar problem groups forum topic keras users tue dlu issues keras team keras issues,2019-04-09T15:24:36Z,"type:bug, comp:keras, TF 2.0",CLOSED,22,26,https://github.com/tensorflow/tensorflow/issues/27688,"function, kera, variable, weight, eager, input, nanme, optimizer, graph, output",13,模型转换结果不一致,,,,,在使用ModelCheckpoint保存时发生错误
earlystopping restore weights training epoch,system information written custom opposed stock example script provided os platform distribution linux ubuntu darwin bit installed source binanry pipenv version command version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory current behavior earlystopping callback restore best weights stops training example model set train epochs uses early stopping patience best weights occur epoch best weights restored model weights epoch expected behavior earlystopping initialized restore best weights always restore best weights training stops regardless reason training stopped reproduce provide reproducible test minimum necessary generate problem output example info logs numpy version,2020-01-07T11:10:17Z,"stat:awaiting response, type:bug, stale, comp:keras, TF 2.0",CLOSED,23,16,https://github.com/tensorflow/tensorflow/issues/35634,"kera, train, training, batch, data, epoch, loss, metric, fit, dataset",9,模型转换结果不一致,,,,,EarlyStopping回调的设计问题
gpu delegate inference opengl ssbo android,system information written custom opposed stock example script provided modified inference tflite gpu delegate android sample additionanl org performance gpu advanced android os platform distribution android mobile device oneplus version current behavior gpu delegate provided sample running tflite inference efficiently android avoiding cpu gpu memory copying help opengl ssbo egl context however method seem performance gains rather degraded inference performance terms speed mentions method interpreter runinference null outputarray running inference method basic method interpreter inputtensor outputtensor seems method current api called interpreter runinference method suggested currently supported gpu delegate api accessing input opengl ssbo directly running inference ensure model takes input ssbo gpu memory expected behaviour tflite inference opengl ssbo faster basic gpu delegate inference data copied every cpu gpu info logs measured tflite method android studio input recommended bytebuffer format cannot resolve method runinference null,2019-03-03T13:45:38Z,"stat:awaiting response, type:bug, stale, comp:lite",CLOSED,0,106,https://github.com/tensorflow/tensorflow/issues/26297,"tflite, convert, android, output, interpreter, converter, delegate, inference, input, quantization",1,模型训练推理性能劣化,,,,,TF Lite gpu在Android上推理效率低
tf keraslayer cannot loaded,sure policy master issues md address doc bugs performance issues feature requests issues tag template system information example copied hub research drive ymmzlwhiecuxr ujxezulnysnsdehc version alpha eager hub version gpu available try example hub retraining model according org alpha keras saving serializing issues retraining try model occurs already described actually model created try via entire stacktrace entire review research drive ymmzlwhiecuxr ujxezulnysnsdehc,2019-03-18T14:25:03Z,"stat:awaiting tensorflower, type:bug, comp:keras, TF 2.0",CLOSED,16,34,https://github.com/tensorflow/tensorflow/issues/26835,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型加载失败,,,,,加载.h5模型失败
basecollectiveexecutor startabort range warnings fit model graph tf,system information os platform distribution windows installed binanry version tf gpu preview version cuda cudnn version gpu model memory simple model made inheriting tf keras model feed dataset model mymodel model compile optimizer tf keras optimizers adam learning amsgrad loss loss fn eagerly dataset tf data dataset tensor slices dataset dataset shuffle buffer dataset dataset batch batch model fit dataset epochs verbose callbacks lossandbugprintingcallback tf beta works perfectly eagerly tf preview eagerly however try eagerly preview stream following warnings core common runtime base collective executor basecollectiveexecutor startabort range sequence iteratorgetnext,2019-08-10T15:38:53Z,"type:bug, comp:keras, TF 2.0",CLOSED,17,28,https://github.com/tensorflow/tensorflow/issues/31509,"kera, train, training, batch, data, epoch, loss, metric, fit, dataset",9,模型推理实现问题,,,,,模型编译时run_eagerly的设置导致运行失败
cannot export keras model typebug json serializable,versions mac os tf dev curious preprocessing steps serialize something goes either definition building export model postprocessing steps apologize advance seems related issues issues keras team keras issues seemingly hacky solutions also curious constants unstandardizing output show non trainanble params second model expected behavior,2019-03-25T15:11:17Z,"stat:awaiting tensorflower, type:bug, comp:keras, TF 2.0",CLOSED,21,10,https://github.com/tensorflow/tensorflow/issues/27112,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型转换结果不一致,,,,,导出模型失败
memory,system information written custom opposed stock example script provided os platform distribution linux ubuntu ubuntu also demonstrated windows installed source binanry binanry version command rc problem disappears rc gaf dc version cuda cudnn version cuda cudnn gpu model memory nvidia geforce problem persists non gpu version current behavior creating trivially simple model entering loop calls predict dummy input memory consumption increases indefinitely system model single hidden layer nodes consume available system ram minutes problem happens gpu cpu disappears running identical expected behavior expect memory consumption quickly stabilize never reproduce,2019-10-03T09:08:05Z,"type:bug, comp:keras, TF 2.0",CLOSED,11,49,https://github.com/tensorflow/tensorflow/issues/33009,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型训练推理内存泄漏,,,,,预测过程中RAM内存增大
tf optimizer weights restoring model,system information written custom opposed stock example script provided little os platform distribution ubuntu installed binanry version also happens version current behavior loading keras model optimizer weights restored warning printed aware org keras serialize also mention expected behavior optimizer weights restored automatically loaded model optimizer org community contribute contribute pr standalone reproduce notebook shows tf research drive wyrohfnnvofocqm jkc cih kzzkh lk sharing notebook shows tf research drive hdcx wauiuarjpbltmfdrlk yhr ngqt sharing info logs tf occur tf compat significant means models cannot trained correctly training able stop resume workarounds setting optimizer weights manually buggy keras team keras issues issues related one checkpoints getting bugs savedmodel format getting bugs one,2021-11-15T11:45:41Z,"stat:awaiting response, type:bug, comp:ops, TF 2.7",CLOSED,20,6,https://github.com/tensorflow/tensorflow/issues/53064,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型加载失败,,,,,TF2加载模型时不加载优化器权重
